plot $MyData using (column(0)):2:3:4:5:($5>$2?GREEN:RED) with candlesticks title "Close" lc rgbcolor variable fs solid,\
$MyData using (column(0)):6 with lines title "SMA(5), Close"
Date       |  Open |  High |   Low | Close | SMA(…
---------- | ----- | ----- | ----- | ----- | -----
2024-01-04 | 33.57 | 34.31 | 33.54 | 33.80 | None 
2024-01-05 | 33.80 | 34.69 | 33.71 | 34.43 | None 
2024-01-08 | 34.30 | 34.30 | 33.64 | 34.16 | None 
2024-01-09 | 33.82 | 33.84 | 33.51 | 33.63 | None 
2024-01-10 | 33.50 | 33.63 | 33.24 | 33.60 | 33.92
2024-01-11 | 33.36 | 33.50 | 32.78 | 33.15 | 33.79
2024-01-12 | 32.25 | 33.19 | 31.96 | 32.80 | 33.47
2024-01-16 | 32.41 | 32.51 | 31.82 | 32.12 | 33.06
2024-01-17 | 31.72 | 31.99 | 31.27 | 31.80 | 32.69
2024-01-18 | 31.75 | 31.77 | 31.40 | 31.73 | 32.32
2024-01-19 | 31.80 | 32.23 | 31.57 | 32.22 | 32.13
2024-01-22 | 32.36 | 32.99 | 32.32 | 32.55 | 32.08
2024-01-23 | 32.54 | 32.82 | 32.39 | 32.77 | 32.21
2024-01-24 | 33.03 | 33.34 | 32.91 | 32.98 | 32.45
2024-01-25 | 33.21 | 33.45 | 32.83 | 33.39 | 32.78
2024-01-26 | 33.40 | 33.67 | 33.32 | 33.43 | 33.02
2024-01-29 | 33.40 | 33.65 | 33.24 | 33.61 | 33.24
2024-01-30 | 33.90 | 34.89 | 33.84 | 34.79 | 33.64
2024-01-31 | 34.57 | 35.10 | 34.00 | 34.01 | 33.85
2024-02-01 | 33.93 | 34.25 | 32.93 | 33.55 | 33.88
2024-02-02 | 33.37 | 33.71 | 33.17 | 33.47 | 33.89
2024-02-05 | 33.11 | 33.29 | 32.86 | 32.99 | 33.76
2024-02-06 | 32.92 | 33.36 | 32.88 | 33.04 | 33.41
2024-02-07 | 33.06 | 33.26 | 32.63 | 33.18 | 33.25
2024-02-08 | 33.05 | 33.28 | 32.80 | 33.12 | 33.16
2024-02-09 | 33.10 | 33.25 | 32.84 | 33.07 | 33.08
2024-02-12 | 33.00 | 33.97 | 32.98 | 33.62 | 33.21
2024-02-13 | 33.12 | 33.31 | 32.35 | 32.75 | 33.15
2024-02-14 | 32.98 | 33.18 | 32.87 | 33.13 | 33.14
2024-02-15 | 33.32 | 34.24 | 33.32 | 34.07 | 33.33
2024-02-16 | 33.92 | 34.15 | 32.49 | 34.09 | 33.53
2024-02-20 | 33.78 | 34.09 | 33.77 | 33.96 | 33.60
2024-02-21 | 33.36 | 33.74 | 33.17 | 33.70 | 33.79
2024-02-22 | 33.37 | 34.07 | 33.37 | 33.61 | 33.89
2024-02-23 | 33.73 | 34.05 | 33.49 | 33.92 | 33.86
2024-02-26 | 33.79 | 34.22 | 33.53 | 33.61 | 33.76
2024-02-27 | 33.73 | 34.43 | 33.71 | 34.28 | 33.82
2024-02-28 | 34.22 | 34.60 | 34.11 | 34.31 | 33.95
2024-02-29 | 34.33 | 34.65 | 34.15 | 34.52 | 34.13
2024-03-01 | 34.53 | 34.65 | 34.03 | 34.35 | 34.21
2024-03-04 | 34.29 | 35.42 | 34.25 | 35.15 | 34.52
2024-03-05 | 34.93 | 35.72 | 34.87 | 35.39 | 34.74
2024-03-06 | 35.65 | 35.79 | 35.07 | 35.42 | 34.97
2024-03-07 | 35.60 | 35.90 | 35.25 | 35.63 | 35.19
2024-03-08 | 35.87 | 36.13 | 35.50 | 35.60 | 35.44
2024-03-11 | 35.39 | 35.93 | 35.27 | 35.89 | 35.59
2024-03-12 | 35.90 | 36.15 | 35.78 | 35.96 | 35.70
2024-03-13 | 35.96 | 36.45 | 35.96 | 36.08 | 35.83
2024-03-14 | 35.92 | 36.22 | 35.48 | 35.69 | 35.84
2024-03-15 | 35.28 | 36.01 | 35.24 | 35.41 | 35.81
2024-03-18 | 35.66 | 36.09 | 35.39 | 36.01 | 35.83
2024-03-19 | 35.89 | 36.39 | 35.85 | 36.03 | 35.84
2024-03-20 | 35.84 | 36.88 | 35.73 | 36.75 | 35.98
2024-03-21 | 36.93 | 37.60 | 36.88 | 37.51 | 36.34
2024-03-22 | 37.41 | 37.61 | 37.00 | 37.05 | 36.67
2024-03-25 | 37.10 | 37.28 | 36.84 | 36.86 | 36.84
2024-03-26 | 37.00 | 37.24 | 36.80 | 37.09 | 37.05
2024-03-27 | 37.25 | 37.85 | 37.24 | 37.81 | 37.26
2024-03-28 | 37.72 | 38.00 | 37.42 | 37.92 | 37.35
2024-04-01 | 37.94 | 38.35 | 37.44 | 37.52 | 37.44
2024-04-02 | 37.19 | 37.58 | 37.16 | 37.30 | 37.53
2024-04-03 | 37.40 | 38.02 | 37.27 | 37.44 | 37.60
2024-04-04 | 37.70 | 37.96 | 36.87 | 36.92 | 37.42
2024-04-05 | 36.81 | 37.34 | 36.73 | 37.11 | 37.26
2024-04-08 | 37.20 | 37.58 | 37.13 | 37.50 | 37.25
2024-04-09 | 37.51 | 37.77 | 37.20 | 37.73 | 37.34
2024-04-10 | 37.18 | 37.23 | 36.55 | 36.65 | 37.18
2024-04-11 | 36.75 | 36.75 | 36.05 | 36.35 | 37.07
2024-04-12 | 35.81 | 36.09 | 35.53 | 35.79 | 36.80
