      Date | Open    | High    |  Low    | Close   | Adj Cl… |    Volume
---------- | ------- | ------- | ------- | ------- | ------- | ---------
2019-05-15 | 5348.34 | 5374.26 | 5297.30 | 5374.26 | 5374.26 | 103541000
2019-05-16 | 5365.37 | 5448.11 | 5346.54 | 5448.11 | 5448.11 |  89653900
2019-05-17 | 5428.17 | 5450.65 | 5401.66 | 5438.23 | 5438.23 |  96770400
2019-05-20 | 5425.30 | 5438.60 | 5333.31 | 5358.59 | 5358.59 |  88787600
2019-05-21 | 5373.01 | 5394.91 | 5350.13 | 5385.46 | 5385.46 |  79280900
2019-05-22 | 5381.69 | 5399.72 | 5345.28 | 5378.98 | 5378.98 |  69422500
2019-05-23 | 5335.12 | 5340.38 | 5272.78 | 5281.37 | 5281.37 |  95282100
2019-05-24 | 5307.80 | 5337.66 | 5302.52 | 5316.51 | 5316.51 |  86386600
2019-05-27 | 5341.39 | 5364.22 | 5323.17 | 5336.19 | 5336.19 |  55120600
2019-05-28 | 5343.30 | 5351.09 | 5300.80 | 5312.69 | 5312.69 | 123522700
2019-05-29 | 5249.27 | 5252.52 | 5203.81 | 5222.12 | 5222.12 |  96891600
2019-05-30 | 5241.95 | 5258.05 | 5229.74 | 5248.91 | 5248.91 |  53926800
2019-05-31 | 5198.76 | 5208.07 | 5160.91 | 5207.63 | 5207.63 |  92675600
2019-06-03 | 5171.61 | 5241.46 | 5152.30 | 5241.46 | 5241.46 |  82486400
2019-06-04 | 5204.22 | 5278.91 | 5191.61 | 5268.26 | 5268.26 | 100999600
2019-06-05 | 5271.26 | 5306.83 | 5265.60 | 5292.00 | 5292.00 |  82999200
2019-06-06 | 5293.72 | 5332.69 | 5264.62 | 5278.43 | 5278.43 |  97740400
2019-06-07 | 5299.71 | 5389.95 | 5299.71 | 5364.05 | 5364.05 |  85504600
2019-06-10 | 5382.29 | 5397.35 | 5369.82 | 5382.50 | 5382.50 |  44478400
2019-06-11 | 5382.88 | 5431.54 | 5381.31 | 5408.45 | 5408.45 |  82532500
2019-06-12 | 5379.15 | 5394.85 | 5358.81 | 5374.92 | 5374.92 |  71298300
2019-06-13 | 5361.60 | 5392.51 | 5353.11 | 5375.63 | 5375.63 |  69304200
2019-06-14 | 5367.10 | 5369.38 | 5342.15 | 5367.62 | 5367.62 |  65531100
2019-06-17 | 5370.76 | 5408.75 | 5368.07 | 5390.95 | 5390.95 |  60116200
2019-06-18 | 5386.38 | 5516.06 | 5376.12 | 5509.73 | 5509.73 | 112114700
2019-06-19 | 5513.32 | 5521.81 | 5496.54 | 5518.45 | 5518.45 |  94042300
2019-06-20 | 5551.03 | 5564.13 | 5535.57 | 5535.57 | 5535.57 |  91520000
2019-06-21 | 5534.43 | 5582.24 | 5518.39 | 5528.33 | 5528.33 | 180857100
2019-06-24 | 5534.35 | 5547.11 | 5514.14 | 5521.71 | 5521.71 |  69081000
2019-06-25 | 5499.82 | 5523.57 | 5499.65 | 5514.57 | 5514.57 |  67601900
2019-06-26 | 5504.67 | 5531.45 | 5497.22 | 5500.72 | 5500.72 |  72145100
2019-06-27 | 5508.38 | 5511.22 | 5465.62 | 5493.61 | 5493.61 |  68458200
2019-06-28 | 5491.17 | 5545.06 | 5486.28 | 5538.97 | 5538.97 |  77991000
2019-07-01 | 5584.13 | 5611.28 | 5567.91 | 5567.91 | 5567.91 |  70651600
2019-07-02 | 5578.38 | 5582.91 | 5556.76 | 5576.82 | 5576.82 |  67572900
2019-07-03 | 5579.24 | 5618.81 | 5579.04 | 5618.81 | 5618.81 |  63296400
2019-07-04 | 5622.80 | 5629.79 | 5613.03 | 5620.73 | 5620.73 |  46168300
2019-07-05 | 5613.92 | 5616.63 | 5573.35 | 5593.72 | 5593.72 |  63896500
2019-07-08 | 5580.26 | 5598.97 | 5572.77 | 5589.19 | 5589.19 |  54984500
2019-07-09 | 5578.34 | 5582.77 | 5544.62 | 5572.10 | 5572.10 |  62346600
2019-07-10 | 5562.44 | 5606.18 | 5557.66 | 5567.59 | 5567.59 |  60776200
2019-07-11 | 5589.68 | 5592.30 | 5548.95 | 5551.95 | 5551.95 |  57476600
2019-07-12 | 5559.16 | 5587.84 | 5552.58 | 5572.86 | 5572.86 |  60414500
2019-07-15 | 5581.11 | 5606.48 | 5550.86 | 5578.21 | 5578.21 |  53770000
2019-07-16 | 5574.18 | 5626.79 | 5573.36 | 5614.38 | 5614.38 |  66028700
2019-07-17 | 5602.25 | 5621.21 | 5567.85 | 5571.71 | 5571.71 |  63754200
2019-07-18 | 5538.03 | 5585.81 | 5533.47 | 5550.55 | 5550.55 |  63265600
2019-07-19 | 5580.99 | 5598.00 | 5534.25 | 5552.34 | 5552.34 |  65514600
2019-07-22 | 5550.30 | 5575.74 | 5545.61 | 5567.02 | 5567.02 |  58118200
2019-07-23 | 5590.60 | 5638.66 | 5580.52 | 5618.16 | 5618.16 |  77856100
2019-07-24 | 5617.86 | 5627.08 | 5583.14 | 5605.87 | 5605.87 |  68914100
2019-07-25 | 5646.73 | 5672.77 | 5549.66 | 5578.05 | 5578.05 | 106354900
2019-07-26 | 5572.72 | 5614.25 | 5568.83 | 5610.05 | 5610.05 |  71726800
2019-07-29 | 5598.65 | 5624.34 | 5590.82 | 5601.10 | 5601.10 |  59297700
2019-07-30 | 5610.73 | 5611.00 | 5496.77 | 5511.07 | 5511.07 |  87362100
2019-07-31 | 5511.51 | 5538.59 | 5503.13 | 5518.90 | 5518.90 |  84213800
2019-08-01 | 5500.91 | 5563.65 | 5499.88 | 5557.41 | 5557.41 |  81383400
2019-08-02 | 5427.55 | 5455.13 | 5350.76 | 5359.00 | 5359.00 | 130992200
2019-08-05 | 5296.08 | 5315.60 | 5230.46 | 5241.55 | 5241.55 | 105517800
2019-08-06 | 5245.52 | 5297.45 | 5234.65 | 5234.65 | 5234.65 |  88253800
2019-08-07 | 5252.73 | 5312.31 | 5226.39 | 5266.51 | 5266.51 |  89433100
2019-08-08 | 5333.18 | 5387.96 | 5305.86 | 5387.96 | 5387.96 |  79249600
2019-08-09 | 5368.84 | 5374.90 | 5317.91 | 5327.92 | 5327.92 |  71097900
