      Date |  RC | Close  | SMA F… | SMA S… |    S1 |    S2 | ORDER    | FUNDS   | POS… | BALANCE
---------- | --- | ------ | ------ | ------ | ----- | ----- | -------- | ------- | ---- | -------
2020-01-03 |   0 | 200.08 | None   | None   |  None |  None |     0.00 | 1000.00 | 0.00 | 1000.00
2020-01-06 |   1 | 202.33 | None   | None   |  None |  None |     0.00 | 1000.00 | 0.00 | 1000.00
2020-01-07 |   2 | 202.63 | None   | None   |  None |  None |     0.00 | 1000.00 | 0.00 | 1000.00
2020-01-08 |   3 | 205.91 | None   | None   |  None |  None |     0.00 | 1000.00 | 0.00 | 1000.00
2020-01-09 |   4 | 208.35 | 203.86 | None   |  None |  None |     0.00 | 1000.00 | 0.00 | 1000.00
2020-01-10 |   5 | 207.27 | 205.30 | None   |  None |  None |     0.00 | 1000.00 | 0.00 | 1000.00
2020-01-13 |   6 | 206.51 | 206.13 | None   |  None |  None |     0.00 | 1000.00 | 0.00 | 1000.00
2020-01-14 |   7 | 207.32 | 207.07 | None   |  None |  None |     0.00 | 1000.00 | 0.00 | 1000.00
2020-01-15 |   8 | 209.77 | 207.84 | None   |  None |  None |     0.00 | 1000.00 | 0.00 | 1000.00
2020-01-16 |   9 | 210.85 | 208.34 | None   |  None |  None |     0.00 | 1000.00 | 0.00 | 1000.00
2020-01-17 |  10 | 211.98 | 209.29 | None   |  None |  None |     0.00 | 1000.00 | 0.00 | 1000.00
2020-01-21 |  11 | 211.16 | 210.22 | None   |  None |  None |     0.00 | 1000.00 | 0.00 | 1000.00
2020-01-22 |  12 | 211.44 | 211.04 | None   |  None |  None |     0.00 | 1000.00 | 0.00 | 1000.00
2020-01-23 |  13 | 213.42 | 211.77 | None   |  None |  None |     0.00 | 1000.00 | 0.00 | 1000.00
2020-01-24 |  14 | 211.24 | 211.85 | None   |  None |  None |     0.00 | 1000.00 | 0.00 | 1000.00
2020-01-27 |  15 | 209.34 | 211.32 | None   |  None |  None |     0.00 | 1000.00 | 0.00 | 1000.00
2020-01-28 |  16 | 210.39 | 211.17 | None   |  None |  None |     0.00 | 1000.00 | 0.00 | 1000.00
2020-01-29 |  17 | 214.44 | 211.77 | None   |  None |  None |     0.00 | 1000.00 | 0.00 | 1000.00
2020-01-30 |  18 | 216.18 | 212.32 | None   |  None |  None |     0.00 | 1000.00 | 0.00 | 1000.00
2020-01-31 |  19 | 213.97 | 212.86 | 209.23 |  True | False |  1000.00 |  143.12 | 4.00 |  999.00
2020-02-03 |  20 | 215.18 | 214.03 | 209.98 |  True | False |  1000.00 |  143.12 | 4.00 | 1003.84
2020-02-04 |  21 | 214.62 | 214.88 | 210.60 |  True | False |  1000.00 |  143.12 | 4.00 | 1001.60
2020-02-05 |  22 | 214.37 | 214.86 | 211.19 |  True | False |  1000.00 |  143.12 | 4.00 | 1000.60
2020-02-06 |  23 | 212.87 | 214.20 | 211.53 |  True | False |  1000.00 |  143.12 | 4.00 |  994.60
2020-02-07 |  24 | 211.61 | 213.73 | 211.70 |  True | False |  1000.00 |  143.12 | 4.00 |  989.56
2020-02-10 |  25 | 213.21 | 213.34 | 211.99 |  True | False |  1000.00 |  143.12 | 4.00 |  995.96
2020-02-11 |  26 | 215.73 | 213.56 | 212.45 |  True | False |  1000.00 |  143.12 | 4.00 | 1006.04
2020-02-12 |  27 | 217.46 | 214.18 | 212.96 |  True | False |  1000.00 |  143.12 | 4.00 | 1012.96
2020-02-13 |  28 | 217.42 | 215.09 | 213.34 |  True | False |  1000.00 |  143.12 | 4.00 | 1012.80
2020-02-14 |  29 | 217.09 | 216.18 | 213.66 |  True | False |  1000.00 |  143.12 | 4.00 | 1011.48
2020-02-18 |  30 | 216.15 | 216.77 | 213.86 |  True | False |  1000.00 |  143.12 | 4.00 | 1007.72
2020-02-19 |  31 | 215.63 | 216.75 | 214.09 |  True | False |  1000.00 |  143.12 | 4.00 | 1005.64
2020-02-20 |  32 | 215.08 | 216.27 | 214.27 |  True | False |  1000.00 |  143.12 | 4.00 | 1003.44
2020-02-21 |  33 | 215.87 | 215.96 | 214.39 |  True | False |  1000.00 |  143.12 | 4.00 | 1006.60
2020-02-24 |  34 | 213.52 | 215.25 | 214.51 |  True | False |  1000.00 |  143.12 | 4.00 |  997.20
2020-02-25 |  35 | 212.10 | 214.44 | 214.64 | False |  True | -1000.00 |  990.52 | 0.00 |  990.52
2020-02-26 |  36 | 210.10 | 213.33 | 214.63 | False |  True | -1000.00 |  990.52 | 0.00 |  990.52
2020-02-27 |  37 | 201.00 | 210.52 | 213.96 | False |  True | -1000.00 |  990.52 | 0.00 |  990.52
2020-02-28 |  38 | 194.17 | 206.18 | 212.86 | False |  True | -1000.00 |  990.52 | 0.00 |  990.52
2020-03-02 |  39 | 202.55 | 203.98 | 212.29 | False |  True | -1000.00 |  990.52 | 0.00 |  990.52
2020-03-03 |  40 | 199.51 | 201.47 | 211.50 | False |  True | -1000.00 |  990.52 | 0.00 |  990.52
2020-03-04 |  41 | 207.02 | 200.85 | 211.12 | False |  True | -1000.00 |  990.52 | 0.00 |  990.52
2020-03-05 |  42 | 198.32 | 200.31 | 210.32 | False |  True | -1000.00 |  990.52 | 0.00 |  990.52
2020-03-06 |  43 | 198.86 | 201.25 | 209.62 | False |  True | -1000.00 |  990.52 | 0.00 |  990.52
2020-03-09 |  44 | 186.86 | 198.11 | 208.38 | False |  True | -1000.00 |  990.52 | 0.00 |  990.52
2020-03-10 |  45 | 199.86 | 198.18 | 207.71 | False |  True | -1000.00 |  990.52 | 0.00 |  990.52
